Item,Category,Effect,Cost,Image
Power Lens,Hold Items,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.",3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-lens.png
Power Plant Pass,Hold Items,This pass serves as an ID card for gaining access to the power plant that lies along Route 13.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-plant-pass.png
Power Weight,Hold Items,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.",3000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/power-weight.png
Prof's Letter,Hold Items,A letter that Professor Sycamore wrote to your mother. A faint but pleasant perfume seems to cling to the paper.,Cannot be purchased,https://vignette1.wikia.nocookie.net/pokemon/images/9/99/Oak%27s_Letter_Artwork.png/revision/latest?cb=20110913233414
Psychic Gem,Hold Items,Increases the power of a Psychic-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/psychic-gem.png
Pure Incense,Hold Items,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pure-incense.png
Quick Claw,Hold Items,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.",100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/quick-claw.png
Quick Powder,Hold Items,Increases Speed when held by Ditto.,10,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/quick-powder.png
Razor Claw,Hold Items,Increases critical-hit ratio.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/razor-claw.png
Razor Fang,Hold Items,An item to be held by a Pokémon. It may make foes and allies flinch when the holder inflicts damage.,2100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/razor-fang.png
Red Card,Hold Items,"A card with a mysterious power. When the holder is struck by a foe, the attacker is removed from battle.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/red-card.png
Ring Target,Hold Items,Moves that would otherwise have no effect will land on the Pokémon that holds it.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/ring-target.png
Rock Gem,Hold Items,Increases the power of a Rock-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rock-gem.png
Rock Incense,Hold Items,Increases the power of Rock-type moves.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rock-incense.png
Rocky Helmet,Hold Items,"If the holder of this item takes damage, the attacker will also be damaged upon contact.",200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rocky-helmet.png
Rose Incense,Hold Items,Increases the power of Grass-type moves.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/rose-incense.png
Scizorite,Hold Items,Enables Scizor to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/scizorite.png
Scope Lens,Hold Items,Increases critical-hit ratio.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/scope-lens.png
Sea Incense,Hold Items,Increases the power of Water-type moves.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sea-incense.png
Sharp Beak,Hold Items,Increases the power of Flying-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sharp-beak.png
Shed Shell,Hold Items,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.",100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shed-shell.png
Shell Bell,Hold Items,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shell-bell.png
Shock Drive,Hold Items,Changes Techno Blast to an Electric-type move when held by Genesect.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/shock-drive.png
Silk Scarf,Hold Items,Increases the power of Normal-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/silk-scarf.png
Silver Powder,Hold Items,Increases the power of Bug-type moves.,50/500,https://cdn.bulbagarden.net/upload/9/9c/Dream_Silver_Powder_Sprite.png
Sky Plate,Hold Items,Increases power of Flying-type moves. Changes Arceus' type to Flying.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sky-plate.png
Smoke Ball,Hold Items,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/smoke-ball.png
Smooth Rock,Hold Items,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/smooth-rock.png
Soft Sand,Hold Items,Increases the power of Ground-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soft-sand.png
Soothe Bell,Hold Items,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soothe-bell.png
Soul Dew,Hold Items,Increases both Special Attack and Special Defense when held by Latios or Latias.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/soul-dew.png
Spell Tag,Hold Items,Increases the power of Ghost-type moves.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/spell-tag.png
Splash Plate,Hold Items,Increases power of Water-type moves. Changes Arceus' type to Water.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/splash-plate.png
Spooky Plate,Hold Items,Increases power of Ghost-type moves. Changes Arceus' type to Ghost.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/spooky-plate.png
Steel Gem,Hold Items,Increases the power of a Steel-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/steel-gem.png
Stick,Hold Items,Increases critical-hit ratio when held by Farfetch'd.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stick.png
Sticky Barb,Hold Items,A held item that damages the holder on every turn. It may latch on to foes and allies that touch the holder.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/sticky-barb.png
Stone Plate,Hold Items,Increases power of Rock-type moves. Changes Arceus' type to Rock.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/stone-plate.png
Thick Club,Hold Items,Increases Attack when held by Cubone or Marowak.,500,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/thick-club.png
Toxic Orb,Hold Items,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/toxic-orb.png
Toxic Plate,Hold Items,Increases power of Poison-type moves. Changes Arceus' type to Poison.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/toxic-plate.png
Twisted Spoon,Hold Items,Increases the power of Psychic-type moves.,Cannot be purchased,https://cdn.bulbagarden.net/upload/2/29/Dream_Twisted_Spoon_Sprite.png
Tyranitarite,Hold Items,Enables Tyranitar to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/tyranitarite.png
Venusaurite,Hold Items,Enables Venusaur to Mega Evolve during battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/venusaurite.png
Water Gem,Hold Items,Increases the power of a Water-type move only once.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/water-gem.png
Wave Incense,Hold Items,Increases the power of Water-type moves.,9600,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wave-incense.png
White Herb,Hold Items,An item to be held by a Pokémon. It restores any lowered stat in battle. It can be used only once.,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/white-herb.png
Wide Lens,Hold Items,Increases the accuracy of moves.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wide-lens.png
Wise Glasses,Hold Items,Increases the power of Special-category moves.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/wise-glasses.png
Zap Plate,Hold Items,Increases power of Electric-type moves. Changes Arceus' type to Electric.,1000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/zap-plate.png
Zoom Lens,Hold Items,Raises a move's accuracy if the holder moves after its target.,200,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/zoom-lens.png
Acro Bike,Key Item,A folding bicycle that is capable of stunts like jumps and wheelies.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/acro-bike.png
Amaze Mulch,Key Item,"Mulch to be used in a Berry field. An amazing Mulch with the effects of Rich, Surprise, and Boost Mulch.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/amaze-mulch.png
Apricorn Box,Key Item,A handy box where you can store up to 99 Apricorns of each kind.,Cannot be purchased,https://vignette1.wikia.nocookie.net/pokemon/images/6/6b/Apricorn_Box.png/revision/latest?cb=20121006135344
AuroraTicket,Key Item,A ticket required to board the ship to BIRTH ISLAND. It glows beautifully.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/auroraticket.png
Azure Flute,Key Item,A flute that puts out echoing sounds that do not seem to be of this world. It is unknown who made it.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/azure-flute.png
Basement Key,Key Item,A key that opens a door in the Goldenrod Tunnel.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/basement-key.png
Berry Pots,Key Item,Handy containers for cultivating Berries wherever you go.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/4/4c/Berry_Pot.png/120px-Berry_Pot.png
Berry Pouch,Key Item,A pouch for carrying BERRIES. It is attached to the BAG's compartment for important items.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/berry-pouch.png
Bicycle,Key Item,A folding Bicycle that enables much faster movement than the Running Shoes.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/4/4c/RG_Bicycle.png/120px-RG_Bicycle.png
Bike Voucher,Key Item,Take this voucher to the BIKE SHOP in CERULEAN CITY and exchange it for a bicycle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/0/03/RG_Bike_Voucher.png/120px-RG_Bike_Voucher.png
Blue Card,Key Item,A card to save points for the Buena's Password show.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-card.png
Blue Orb,Key Item,A shiny blue orb that is said to have a legend and has a deep connection with the Hoenn region.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/blue-orb.png
Boost Mulch,Key Item,Mulch to be used in a Berry field. It increases the Berry harvest that can be grown by diligent watering.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/boost-mulch.png
Card Key,Key Item,A card key that opens a shutter in the Radio Tower.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/1/19/RG_Card_Key.png/120px-RG_Card_Key.png
Clear Bell,Key Item,A very old-fashioned bell that makes a gentle ringing.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/clear-bell.png
Coin Case,Key Item,"A case for holding Coins obtained at the Game Corner. It holds up to 50,000 Coins.",Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/a/af/RG_Coin_Case.png/99px-RG_Coin_Case.png
Contest Pass,Key Item,The pass required for entering Pokémon CONTESTS. It has a drawing of an award ribbon on it.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/contest-pass.png
Coupon 1,Key Item,A coupon to be exchanged for a Pokémon Watch (Pokétch for short). Three coupons are needed.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/coupon-1.png
Coupon 2,Key Item,A coupon to be exchanged for a Pokémon Watch (Pokétch for short). Three coupons are needed.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/coupon-2.png
Coupon 3,Key Item,A coupon to be exchanged for a Pokémon Watch (Pokétch for short). Three coupons are needed.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/coupon-3.png
Dark Stone,Key Item,Zekrom's body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dark-stone.png
Data Card 01,Key Item,It holds Pokéathlon records. It's a card that shows how many victories you've had.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 02,Key Item,It holds Pokéathlon records. It's a card that shows how many losses you've had.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 03,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon have dashed.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 04,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon have jumped.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 05,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won the Hurdle Dash.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 06,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won the Relay Run.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 07,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Pennant Capture.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 08,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Block Smash.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 09,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Disc Catch.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 10,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Snow Throw.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 11,Key Item,It holds Pokéathlon records. It's a card that shows how many points your Pokémon scored.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 12,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon have failed.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 13,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon impeded themselves.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 14,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon have tackled.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 15,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon have fallen down.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 16,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Ring Drop.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 17,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Lamp Jump.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 18,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Circle Push.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 19,Key Item,It holds Pokéathlon records. It's a card that shows how many Link Pokéathlon wins you've had.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 20,Key Item,It holds Pokéathlon records. It's a card that shows how many Link Pokéathlon losses you've had.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 21,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won an event.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 22,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've lost an event.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 23,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've switched Pokémon.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 24,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've won Goal Roll.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 25,Key Item,It holds Pokéathlon records. It's a card that shows how many times your Pokémon won individual prizes.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 26,Key Item,It holds Pokéathlon records. It's a card that shows how many times you've instructed your Pokémon.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Data Card 27,Key Item,It holds Pokéathlon records. It's a card that shows how much time you've spent in the Pokéathlon.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/data-card.png
Devon Goods,Key Item,A package that contains mechanical parts of some sort made by the DEVON CORPORATION.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/devon-goods.png
Devon Scope,Key Item,A scope that signals the presence of any unseeable Pokémon. It is made by the DEVON CORP.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/devon-scope.png
Dowsing Machine,Key Item,It checks for unseen Items in the area and makes noise and lights when it finds something.,Cannot be purchased,https://cdn.bulbagarden.net/upload/b/bc/Key_Dowsing_MCHN_Sprite.png
Dragon Skull,Key Item,A skull of a Pokémon which was said to have braved the angry waters to fly around the world.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/dragon-skull.png
Enigma Stone,Key Item,A crystal ball that was excavated from the ground. A very beautiful stone that is covered with bits of rock and earth.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/enigma-stone.png
Eon Ticket,Key Item,The ticket required for sailing on a ferry to a distant southern island. It features a drawing of an island.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/eon-ticket.png
Explorer Kit,Key Item,A bag filled with convenient tools for exploring. It provides access to the Underground.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/explorer-kit.png
Fame Checker,Key Item,A device that enables you to recall what you've heard and seen about famous people.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fame-checker.png
Fashion Case,Key Item,A lovely case to store colorful Props for your Pokémon to wear in a musical.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/fashion-case.png
Galactic Key,Key Item,"A card key for disengaging security systems in the Galactic HQ. Losing it can result in punishment, apparently.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/galactic-key.png
GB Sounds,Key Item,A music player that allows you to listen to nostalgic songs. It's operated with a single switch.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gb-sounds.png
Go Goggles,Key Item,A pair of protective goggles. They enable a TRAINER to travel through even desert sandstorms.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/go-goggles.png
God Stone,Key Item,A rare stone.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/god-stone.png
Gold Teeth,Key Item,A set of false teeth lost by the SAFARI ZONE'S WARDEN. It makes his smile sparkle.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/5/53/RG_Gold_Teeth.png/120px-RG_Gold_Teeth.png
Good Rod,Key Item,"A new, good-quality fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/good-rod.png
Gracidea,Key Item,A flower sometimes bundled in bouquets to convey gratitude on special occasions like birthdays.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gracidea.png
Gram 1,Key Item,An important letter which Wingull delivers.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gram-1.png
Gram 2,Key Item,An important letter which Wingull delivers.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gram-2.png
Gram 3,Key Item,An important letter which Wingull delivers.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/gram-3.png
Jade Orb,Key Item,A shiny green orb that is said to have a legend and has a deep connection with the Hoenn region.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/jade-orb.png
Journal,Key Item,A notebook that keeps a day-to-day record of your adventure so far.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/journal.png
Letter,Key Item,An extremely important letter to STEVEN from the PRESIDENT of the DEVON CORPORATION.,Cannot be purchased,https://vignette1.wikia.nocookie.net/pokemon/images/9/99/Oak%27s_Letter_Artwork.png/revision/latest?cb=20110913233414
Liberty Pass,Key Item,A special pass to go to Liberty Garden. Board the ship in Castelia City.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/liberty-pass.png
Lift Key,Key Item,A key that operates the elevator in TEAM ROCKET's HIDEOUT. It bears the TEAM ROCKET logo.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/2/29/RG_Rocket_Key.png/120px-RG_Rocket_Key.png
Light Stone,Key Item,Reshiram's body was destroyed and changed into this stone. It is said to be waiting for the emergence of a hero.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/light-stone.png
Lock Capsule,Key Item,A sturdy Capsule that can only be opened with a special key.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lock-capsule.png
Loot Sack,Key Item,"A sturdy, spacious bag that is used to carry loot obtained in the coal mine.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/loot-sack.png
Lost Item,Key Item,The Mime Jr. doll that was lost by the Copycat.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lost-item.png
Lumiose Galette,Key Item,A popular treat in Lumiose City. It can be used once to heal all the status conditions of a Pokémon.,Cannot be purchased,https://cdn.bulbagarden.net/upload/a/a2/Dream_Lumiose_Galette_Sprite.png
Lunar Wing,Key Item,A feather that glows like the moon. It is said to possess the power to dispel nightmares.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/lunar-wing.png
Mach Bike,Key Item,A folding bicycle that is at least twice as fast as walking.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mach-bike.png
Machine Part,Key Item,An important machine part for the Power Plant that was stolen.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/machine-part.png
Magma Emblem,Key Item,A medal-like item in the same shape as TEAM MAGMA's mark.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/magma-emblem.png
Magma Stone,Key Item,"A stone formed when boulders melted in intensely hot magma, then hardened. Magma remains sealed inside.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/magma-stone.png
Mega Ring,Key Item,This ring contains an untold power that somehow enables Pokémon carrying Mega Stones to Mega Evolve in battle.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mega-ring.png
Member Card,Key Item,"A card needed for entering the inn in Canalave City. Oddly, the last date marked on it was 50 years ago.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/member-card.png
Meteorite,Key Item,A meteorite that fell from space onto MT. MOON long ago. It is very lumpy and hard.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/meteorite.png
Mystery Egg,Key Item,A mysterious Egg obtained from Mr. Pokémon. What's in the Egg is unknown.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mystery-egg.png
MysticTicket,Key Item,A ticket required to board the ship to NAVEL ROCK. It glows with a mystic light.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/mysticticket.png
Oak's Letter,Key Item,A letter from Prof. Oak. Written in it is a request for you to go to Rt. 224.,Cannot be purchased,https://vignette1.wikia.nocookie.net/pokemon/images/9/99/Oak%27s_Letter_Artwork.png/revision/latest?cb=20110913233414
Oak's Parcel,Key Item,A parcel to be delivered to PROF. OAK from VIRIDIAN CITY's Pokémon MART.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/3/39/RG_Oak_Parcel.png/120px-RG_Oak_Parcel.png
Old Charm,Key Item,An ancient good-luck charm made of Pokémon bones to be taken to the elder of Celestic Town.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/old-charm.png
Old Rod,Key Item,An old and beat-up fishing rod. Use it by any body of water to fish for wild aquatic Pokémon.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/d/d5/RG_Old_Rod.png/120px-RG_Old_Rod.png
Old Sea Map,Key Item,A faded sea chart that shows the way to a certain island.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/old-sea-map.png
Pal Pad,Key Item,"A convenient notepad that is used for registering your friends, Friend Codes, and keeping a record of game play.",Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pal-pad.png
Parcel,Key Item,A parcel entrusted in your care. You are supposed to deliver it to your childhood friend who left Twinleaf Town.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/parcel.png
Pass,Key Item,A ticket required for riding the Magnet Train. It allows you to ride whenever and however much you'd like.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/pass.png
Photo Album,Key Item,A nice photo album for storing all the photos taken along your adventure.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/photo-album.png
Poffin Case,Key Item,A case for storing Poffin cooked from Berries.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/poffin-case.png
Point Card,Key Item,A card that lists the Battle Points you have earned.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/point-card.png
Poke Flute,Key Item,A flute that is said to instantly awaken any Pokémon. It has a lovely tone.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/5/55/RG_Pok%C3%A9_Flute.png/200px-RG_Pok%C3%A9_Flute.png
Poke Radar,Key Item,A tool that can search out Pokémon that are hiding in grass. Its battery is recharged as you walk.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/a/a7/Poke_Radar.png/200px-Poke_Radar.png
Poke block Case,Key Item,A case for holding POKéBLOCKS made with a BERRY BLENDER. It releases one POKéBLOCK when shaken.,Cannot be purchased,https://cdn.bulbagarden.net/upload/thumb/2/29/Omega_Ruby_Alpha_Sapphire_Pok%C3%A9block_Case.png/100px-Omega_Ruby_Alpha_Sapphire_Pok%C3%A9block_Case.png
Powder Jar,Key Item,A jar for storing BERRY POWDER made using a BERRY CRUSHER.,Cannot be purchased,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/items/powder-jar.png
